ISO_639	Language_Name	Uninverted_Name	Country_Code	Country_Name	Region_Code	Region_Name	Area	L1_Users	Digits	All_Users	Countries	Family	Classification	Latitude	Longitude	EGIDS	Is_Written	Institutional	Developing	Vigorous	In_Trouble	Dying	Extinct
aaa	Ghotuo	Ghotuo	NG	Nigeria	WAF	Western Africa	Africa	9000	4	9000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Edoid, North-Central, Ghotuo-Uneme-Yekhee	7.1154	5.9529	6a	F	0	0	1	0	0	0
aab	Alumu-Tesu	Alumu-Tesu	NG	Nigeria	WAF	Western Africa	Africa	7000	4	7000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Alumic	9.0164	8.6120	6a	F	0	0	1	0	0	0
aac	Ari	Ari	PG	Papua New Guinea	MEL	Melanesia	Pacific	50	2	50	1	Trans-New Guinea	Trans-New Guinea, Gogodala-Suki, Gogodala	-7.9172	142.3877	6b	T	0	0	0	1	0	0
aad	Amal	Amal	PG	Papua New Guinea	MEL	Melanesia	Pacific	830	3	830	1	Sepik	Sepik, Iwam	-4.0487	141.9967	6a	F	0	0	1	0	0	0
aae	Albanian, Arbëreshë	Arbëreshë Albanian	IT	Italy	SEU	Southern Europe	Europe	100000	6	100000	1	Indo-European	Indo-European, Albanian, Tosk	38.8985	16.7019	6b	T	0	0	0	1	0	0
aaf	Aranadan	Aranadan	IN	India	SAS	Southern Asia	Asia	200	3	200	1	Dravidian	Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam	11.3277	76.1310	6b	F	0	0	0	1	0	0
aag	Ambrak	Ambrak	PG	Papua New Guinea	MEL	Melanesia	Pacific	290	3	290	1	Torricelli	Torricelli, Wapei-Palei, Palei	-3.6040	142.5351	6b	F	0	0	0	1	0	0
aah	Arapesh, Abu’	Abu’ Arapesh	PG	Papua New Guinea	MEL	Melanesia	Pacific	2560	4	2560	1	Torricelli	Torricelli, Kombio-Arapesh, Arapesh	-3.4341	142.9650	6b	F	0	0	0	1	0	0
aai	Miniafia Oyan	Miniafia Oyan	PG	Papua New Guinea	MEL	Melanesia	Pacific	3470	4	3470	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D’Entrecasteaux, Are-Taupota, Are	-9.2356	149.1962	5	T	0	1	0	0	0	0
aak	Ankave	Ankave	PG	Papua New Guinea	MEL	Melanesia	Pacific	1600	4	1600	1	Trans-New Guinea	Trans-New Guinea, Angan, Nuclear Angan	-7.2181	145.7673	5	T	0	1	0	0	0	0
aal	Afade	Afade	CM	Cameroon	MAF	Middle Africa	Africa	5000	4	5000	2	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North	12.2133	14.7524	6a	T	0	0	1	0	0	0
aan	Anambé	Anambé	BR	Brazil	SAM	South America	Americas	6	1	6	1	Tupian	Tupian, Tupí-Guaraní, Wayampí, Amanayé	-2.7139	-49.2988	8b	F	0	0	0	0	1	0
aao	Arabic, Algerian Saharan Spoken	Algerian Saharan Spoken Arabic	DZ	Algeria	NAF	Northern Africa	Africa	239000	6	239000	3	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	28.3757	5.3649	6a	F	0	0	1	0	0	0
aap	Arára, Pará	Pará Arára	BR	Brazil	SAM	South America	Americas	340	3	340	1	Cariban	Cariban, South Amazonian, Arara	-3.7443	-53.1231	6a	T	0	0	1	0	0	0
aaq	Abenaki, Eastern	Eastern Abenaki	US	United States	NAM	Northern America	Americas	0	0		1	Algic	Algic, Algonquian, Eastern Algonquian, Abenaki	44.9423	-68.7328	9	F	0	0	0	0	1	0
aar	Afar	Afar	ET	Ethiopia	EAF	Eastern Africa	Africa	2467000	7	2489800	3	Afro-Asiatic	Afro-Asiatic, Cushitic, East, Saho-Afar	11.9963	41.2250	2	T	1	0	0	0	0	0
aas	Aasáx	Aasáx	TZ	Tanzania	EAF	Eastern Africa	Africa	0	0		1	Afro-Asiatic	Afro-Asiatic, Cushitic, South	-4.0022	36.8687	9	F	0	0	0	0	1	0
aat	Albanian, Arvanitika	Arvanitika Albanian	GR	Greece	SEU	Southern Europe	Europe	50000	5	50000	1	Indo-European	Indo-European, Albanian, Tosk	38.2830	23.3703	8a	T	0	0	0	0	1	0
aau	Abau	Abau	PG	Papua New Guinea	MEL	Melanesia	Pacific	7500	4	7500	1	Sepik	Sepik, Abau	-4.0700	141.1713	5	T	0	1	0	0	0	0
aaw	Solong	Solong	PG	Papua New Guinea	MEL	Melanesia	Pacific	2200	4	2200	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Arawe, West Arawe	-5.9064	148.8789	4	T	1	0	0	0	0	0
aax	Mandobo Atas	Mandobo Atas	ID	Indonesia	SEA	South-Eastern Asia	Asia	10000	5	10000	1	Trans-New Guinea	Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Dumut	-5.9961	140.5105	6a	F	0	0	1	0	0	0
